config,benchmark,l1_hit_LRU_%,l1_hit_DRRIP_%,l1_delta_pp,l2_hit_LRU_%,l2_hit_DRRIP_%,l2_delta_pp,amat_LRU_cy,amat_DRRIP_cy,amat_speedup_%
A,streaming_hotset,93.85,93.85,+0.00,49.99,49.99,+0.00,4.693,4.693,+0.00
A,matrix_conv,93.60,93.60,+0.00,50.00,50.00,+0.00,4.840,4.840,+0.00
A,linked_list,67.64,67.64,+0.00,38.27,38.11,-0.16,24.209,24.261,-0.21
A,pattern_search,99.95,99.95,+0.00,50.00,50.00,+0.00,1.030,1.030,+0.00
A,mixed_access,68.18,71.05,+2.87,95.00,94.50,-0.50,5.773,5.486,+4.97
B,streaming_hotset,93.85,93.85,+0.00,50.00,50.00,+0.00,4.693,4.693,+0.00
B,matrix_conv,93.60,93.60,+0.00,50.00,50.00,+0.00,4.840,4.840,+0.00
B,linked_list,67.26,67.26,-0.00,38.64,38.43,-0.21,24.363,24.435,-0.30
B,pattern_search,99.95,99.95,+0.00,50.00,50.00,+0.00,1.030,1.030,+0.00
B,mixed_access,68.18,70.74,+2.56,95.00,94.56,-0.44,5.773,5.517,+4.43
C,streaming_hotset,93.85,93.85,+0.00,50.00,50.00,+0.00,4.693,4.693,+0.00
C,matrix_conv,93.60,93.60,+0.00,50.00,50.00,+0.00,4.840,4.840,+0.00
C,linked_list,67.19,67.19,+0.00,39.10,40.27,+1.17,24.260,23.876,+1.58
C,pattern_search,99.95,99.95,+0.00,50.00,50.00,+0.00,1.030,1.030,+0.00
C,mixed_access,68.18,78.21,+10.03,95.00,92.70,-2.30,5.773,4.770,+17.37
