cache,size_KB,block_B,assoc,policy,total_bits,policy_bits_per_set
L1D-A,4,32,2,LRU,2944,2
L1D-A,4,32,2,DRRIP_jaleel,3072,4
L1D-A,4,32,2,DRRIP_champsim,3072,4
L2-A,32,64,8,LRU,12288,24
L2-A,32,64,8,DRRIP_jaleel,11776,16
L2-A,32,64,8,DRRIP_champsim,11776,16
L1D-B,4,32,4,LRU,3200,8
L1D-B,4,32,4,DRRIP_jaleel,3200,8
L1D-B,4,32,4,DRRIP_champsim,3200,8
L2-B,64,64,8,LRU,23552,24
L2-B,64,64,8,DRRIP_jaleel,22528,16
L2-B,64,64,8,DRRIP_champsim,22528,16
L1D-C,8,32,4,LRU,6144,8
L1D-C,8,32,4,DRRIP_jaleel,6144,8
L1D-C,8,32,4,DRRIP_champsim,6144,8
L2-C,128,64,16,LRU,49152,64
L2-C,128,64,16,DRRIP_jaleel,45056,32
L2-C,128,64,16,DRRIP_champsim,45056,32
L1D-Validacao,0,16,2,LRU,224,2
L1D-Validacao,0,16,2,DRRIP_jaleel,232,4
L1D-Validacao,0,16,2,DRRIP_champsim,232,4
L2-Validacao,1,16,2,LRU,1600,2
L2-Validacao,1,16,2,DRRIP_jaleel,1664,4
L2-Validacao,1,16,2,DRRIP_champsim,1664,4
