config,benchmark,L1_KB,L1_assoc,L2_KB,L2_assoc,LRU_L1I_HR,LRU_L1D_HR,LRU_L2_HR,LRU_overall,DRRIP_L1I_HR,DRRIP_L1D_HR,DRRIP_L2_HR,DRRIP_overall,delta_pp
A_min,streaming,4,2,32,8,99.99,93.89,74.78,97.48,99.99,93.89,74.78,97.48,+0.00
A_min,matrix_conv,4,2,32,8,100.00,93.60,49.99,95.85,100.00,93.60,49.99,95.85,+0.00
A_min,linked_list,4,2,32,8,100.00,91.67,89.96,96.20,100.00,91.67,89.96,96.20,+0.00
A_min,pattern_search,4,2,32,8,100.00,99.76,49.95,99.88,100.00,99.76,49.95,99.88,+0.00
B_l1_4way,streaming,4,4,32,8,99.99,93.89,74.78,97.48,99.99,93.89,74.78,97.48,+0.00
B_l1_4way,matrix_conv,4,4,32,8,100.00,93.60,49.99,95.85,100.00,93.60,49.99,95.85,+0.00
B_l1_4way,linked_list,4,4,32,8,100.00,91.67,89.96,96.20,100.00,91.67,89.96,96.20,+0.00
B_l1_4way,pattern_search,4,4,32,8,100.00,99.76,49.95,99.88,100.00,99.76,49.95,99.88,+0.00
C_l2_16way,streaming,4,4,32,16,99.99,93.89,74.78,97.48,99.99,93.89,74.78,97.48,+0.00
C_l2_16way,matrix_conv,4,4,32,16,100.00,93.60,49.99,95.85,100.00,93.60,49.99,95.85,+0.00
C_l2_16way,linked_list,4,4,32,16,100.00,91.67,89.96,96.20,100.00,91.67,89.96,96.20,+0.00
C_l2_16way,pattern_search,4,4,32,16,100.00,99.76,49.95,99.88,100.00,99.76,49.95,99.88,+0.00
D_l2_64k,streaming,4,4,64,16,99.99,93.89,74.78,97.48,99.99,93.89,74.78,97.48,+0.00
D_l2_64k,matrix_conv,4,4,64,16,100.00,93.60,49.99,95.85,100.00,93.60,49.99,95.85,+0.00
D_l2_64k,linked_list,4,4,64,16,100.00,91.67,89.96,96.20,100.00,91.67,89.96,96.20,+0.00
D_l2_64k,pattern_search,4,4,64,16,100.00,99.76,49.95,99.88,100.00,99.76,49.95,99.88,+0.00
E_max,streaming,8,4,128,16,99.99,93.89,74.78,97.48,99.99,93.89,74.78,97.48,+0.00
E_max,matrix_conv,8,4,128,16,100.00,93.60,49.99,95.85,100.00,93.60,49.99,95.85,+0.00
E_max,linked_list,8,4,128,16,100.00,91.67,89.96,96.20,100.00,91.67,89.96,96.20,+0.00
E_max,pattern_search,8,4,128,16,100.00,99.76,49.95,99.88,100.00,99.76,49.95,99.88,+0.00
