config,benchmark,policy,accesses,hits,misses,hit_rate
A,streaming_hotset,LRU,16640,15615,1025,0.9384
A,streaming_hotset,DRRIP,16640,15615,1025,0.9384
A,matrix_conv,LRU,15872,14864,1008,0.9365
A,matrix_conv,DRRIP,15872,14864,1008,0.9365
A,linked_list,LRU,12288,8429,3859,0.6860
A,linked_list,DRRIP,12288,8431,3857,0.6861
A,pattern_search,LRU,134112,133600,512,0.9962
A,pattern_search,DRRIP,134112,133600,512,0.9962
A,mixed_access,LRU,5120,3584,1536,0.7000
A,mixed_access,DRRIP,5120,4040,1080,0.7891
B,streaming_hotset,LRU,16640,15615,1025,0.9384
B,streaming_hotset,DRRIP,16640,15615,1025,0.9384
B,matrix_conv,LRU,15872,14864,1008,0.9365
B,matrix_conv,DRRIP,15872,14864,1008,0.9365
B,linked_list,LRU,12288,8436,3852,0.6865
B,linked_list,DRRIP,12288,8437,3851,0.6866
B,pattern_search,LRU,134112,133600,512,0.9962
B,pattern_search,DRRIP,134112,133600,512,0.9962
B,mixed_access,LRU,5120,3584,1536,0.7000
B,mixed_access,DRRIP,5120,4207,913,0.8217
C,streaming_hotset,LRU,16640,15615,1025,0.9384
C,streaming_hotset,DRRIP,16640,15615,1025,0.9384
C,matrix_conv,LRU,15872,14864,1008,0.9365
C,matrix_conv,DRRIP,15872,14864,1008,0.9365
C,linked_list,LRU,12288,8675,3613,0.7060
C,linked_list,DRRIP,12288,8691,3597,0.7073
C,pattern_search,LRU,134112,133600,512,0.9962
C,pattern_search,DRRIP,134112,133600,512,0.9962
C,mixed_access,LRU,5120,4928,192,0.9625
C,mixed_access,DRRIP,5120,4928,192,0.9625
